Numer uchwały,Beneficjent,Koszt,Nazwa projektu,Data uchwały
63,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,85634.41,"""Dni Zero UJ 2021""",6 września 2021
64,Zespołowi Informacji i Promocji Samorządu Studentów UJ,47072.1,"""Pakiety startowe 2021""",6 września 2021
65,Sekretarzowi Zarządu Samorządu Studentów UJ,2600.0,"""Zdjęcia do planerów dla Studentów I roku""",6 września 2021
66,WRSS WSMiP,16982.11,"""Zagospodarowanie pokoi studenckich nr 613, 614 i 615 w budynku WSMIP UJ""",9 września 2021
68,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,7980.0,"""Obóz Integracyjny MISH UJ""",13 września 2021
69,WRSS WMiI,3050.32,"""Diamentowa Kreda 2021""",13 września 2021
70,Sekretarzowi Zarządu Samorządu Studentów UJ,40000.0,"""Kalendarze dla Studentów rozpoczynających studia na Uniwersytecie Jagiellońskim""",13 września 2021
71,Przewodniczącej Zarządu Samorządu Studentów UJ,310000.0,"""Juwenalia 2021""",13 września 2021
76,WRSS WCh,6000.0,"""PrzygotUJ się z nami na laboratoria gadżety fartuchy dla pierwszorocznych Studentów Wydziału Chemii UJ""",20 września 2021
77,Stowarzyszeniu Erasmus Student Network UJ Kraków,2275.0,"""Orientation Week with ESN UJ Kraków """,20 września 2021
78,Stowarzyszeniu TęczUJ,5044.44,"""Tydzień Orientacyjny z TęczUJ""",20 września 2021
79,Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego,3948.45,"""ABC Studenta szkolenie dla studentów I roku""",27 września 2021
80,Zespołowi ds. Przeciwdziałania Przemocy i Dyskryminacji SSUJ,3075.0,"""Szkolenie z zakresu udzielania pierwszej pomocy dzieciom""",27 września 2021
81,WRSS WH,8825.92,"""Szkole nie Wyjazdowe i posiedzenie terenowe WRSS WH""",27 września 2021
82,Stowarzyszeniu All in UJ,5920.0,"""Science First poznaj praktyczny wymiar nauki transmisja startu 4 sezonu""",04 października 2021
83,Przewodniczącemu Uczelnianej Komisji Ekonomicznej Samorządu Studentów Uniwersytetu Jagiellońskiego,14050.0,"""Wyjazd szkoleniowo integracyjny Uczelnianej Komisji Ekonomicznej SSUJ""",7 października 2021
84,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,7550.0,"""Welcome to the E il Circus""",11 października 2021
85,WRSS WZiKS,4273.19,"""Powrót do przeszłości tydzień integracyjny WZiKS""",11 października 2021
86,WRSS WH,11835.68,"""Wy stawa Artysta Szaman Artystka Szamanka""",11 października 2021
87,Stowarzyszeniu Europejskie Forum Studentów AEGEE,2500.0,"""Local Training Course Freshmen s Sur i al FRESH I """,11 października 2021
89,WRSS WH,2000.0,"""Spektakl w teatrze ariete""",19 października 2021
90,WRSS WH,1200.0,"""Turniej Piłkarski ArecheoCup 2021""",19 października 2021
91,Stowarzyszeniu All In UJ,14270.84,"""All In UJ Winter Camp""",19 października 2021
92,Stowarzyszeniu Erasmus Student Network UJ Kraków,5700.0,"""Wyjazd Szkoleniowo Integracyjny z ESN UJ Kraków""",19 października 2021
93,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,5200.0,"""Karaoke Filmowe""",25 października 2021
94,WRSS WCh,4600.0,"""154 . Urodziny Marii Skłodowskiej Curie""",25 października 2021
95,WRSS WCh,1343.16,"""Bluzy z logiem Wydziału Chemii UJ edycja 3""",25 października 2021
96,WRSS WGiG,3848.81,"""Gadżety Samorządowe""",25 października 2021
97,WRSS WBBiB,26519.22,"""Międzywydziałówkowy Wyjazd Integracyjno Szkoleniowy MÓWISZ 2021""",25 października 2021
99,WRSS WCh,144.9,"""Zakup przypinek dla przedstawi cieli studenckich w Radzie Wydziału Chemii UJ """,25 października 2021
101,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,4288.0,"""Za kup pianina elektrycznego i akcesoriów na użytek Samorządu Studentów Uniwersytetu Jagiellońskiego""",08 listopada 2021
102,Wiceprzewodniczący(a) SSUJ,13056.56,"""Wyposażenie sali konferencyj nej SSUJ w sprzęt do posiedzeń hybrydowych""",08 listopada 2021
104,WRSS WCh,30000.0,"""Nagroda w I Konkursie OZD""",8 listopada 2021
105,WRSS Filologia,2596.4,"""Za kup licencji na oprogramowanie Adobe dla WRSS WF UJ""",9 listopada 2021
106,WRSS WPiA,4300.0,"""Illegal Thursday Impre za integracyjna WPiA UJ i TBSP UJ""",9 listopada 2021
107,Zespołowi ds. Przeciwdziałania Przemocy i Dyskryminacji SSUJ,680.0,"""Wyjście do kina na seans Wszystkie nasze strachy """,15 listopada 2021
108,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,7400.0,"""Dziady jesienne""",15 listopada 2021
109,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,3087.18,"""Studenckie Konwersacje Językowe""",15 listopada 2021
110,Aleksandrze Gościckiej,1932.41,"""Schemat""",15 listopada 2021
111,WRSS WCh,550.0,"""Kultura nie jedno ma imię ol. 3""",15 listopada 2021
112,WRSS WCh,2290.0,"""Bądź jak James Bond integracyjne wyjście na strzelnicę""",15 listopada 2021
113,WRSS WP,13840.0,"""Wyjazd szkoleniowo integracyjny Wydziałowej Rady Samorządu Studentów Wydziału Polonistyki UJ""",15 listopada 2021
114,WRSS WPiA,6990.0,"""Wyjazd Integracyjno Szkoleniowy WRSS WPiA UJ""",15 listopada 2021
115,WRSS WBBiB,11042.39,"""Bluzy i skarpetki wydziałowe WBBiB UJ""",15 listopada 2021
116,WRSS WZiKS,27896.61,"""Wyjazd szkoleniowo integracyjny WRSS WZiKS UJ 2021""",15 listopada 2021
117,Bractwu Czapki Studenckiej UJ,3000.0,"""Studencie, załóż czapkę """,15 listopada 2021
118,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,3936.0,"""Jesienny wieczór filmowy z Off Camerą""",21 listopada 2021
119,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,9889.2,"""Gadżety samorządu studentów uj""",22 listopada 2021
120,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,13042.24,"""Dorwij Bomb kę """,22 listopada 2021
121,Stowarzyszeniu DKMS Polska,2114.37,"""Helpers Generation UJ""",22 listopada 2021
122,Radzie Mieszkańców DS Bursa Jagiellońska,1511.32,"""Mikołajki DS BJ 2021""",22 listopada 2021
123,WRSS WPiA,3347.17,"""Kubki promujące Wydział Prawa i Administracji Uniwersytetu Jagiellońskiego""",22 listopada 2021
124,WRSS WB,6000.0,"""Różowe święta""",22 listopada 2021
125,WRSS Filologia,2890.0,"""Teatralny początek grudnia z WRSSWFilgUJ""",22 listopada 2021
126,Stowarzyszeniu Europejskie Forum Studentów AEGEE,2400.0,"""Management Training Course (MTC)""",22 listopada 2021
127,WRSS WPiA,5182.96,"""Wydziałowy Turniej Piłkarski""",22 listopada 2021
128,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,44765.38,"""Opłatek społeczności studenckiej Uniwersytetu Jagiellońskiego2021""",22 listopada 2021
129,WRSS WH,4500.0,"""Studencka Alternatywna Unia Nowości Uniwersytetu Jagiellońskiego (S.A.U.N.U.J)""",22 listopada 2021
130,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,16550.0,"""Wieczór filmów Świątecznych""",28 listopada 2021
131,WRSS WCh,990.0,"""Nie zostań na lodzie i zadbaj o zdrowie łyżwy z WRSS Chemii UJ""",30 listopada 2021
132,WRSS WCh,2160.0,"""Kultura nie jedno ma imię ol. 4""",30 listopada 2021
133,WRSS WZiKS,2640.28,"""Merry uiz mas""",30 listopada 2021
134,WRSS WCh,48.3,"""Zakup przypinek dla członków WRSS Wydziału Chemii UJ""",30 listopada 2021
135,Stowarzyszeniu All In UJ,676.5,"""Popiół i diament Piękny Polski Klasyk""",30 listopada 2021
